mutcd_code,description,sign_text,category
R3-11,hov 2,HOV 2+ ONLY [[time range]],regulatory_bw
R3-11a,hov center,CENTER LANE HOV 2+ ONLY,regulatory_bw
R3-11b,bus center,CENTER LANE BUSES ONLY,regulatory_bw
R3-11c,hov 3,HOV 2+ ONLY 24 HOURS,regulatory_bw
R3-12,hov ahead,HOV 2+ LANE AHEAD,regulatory_bw
R3-12a,hov end,HOV LANE ENDS,regulatory_bw
R3-12b,hov ends ahead,HOV LANE ENDS 1/2 MILE,regulatory_bw
R3-13,hov 4,HOV 2+ ONLY 2 OR MORE PERSONS PER VEHICLE,regulatory_bw
R3-13a,hov 5,HOV 2+ ONLY 2 OR MORE PERSONS PER VIHICLE [[time range]],regulatory_bw
R3-14,hov 6,HOV 2+ ONLY [[time range]],regulatory_bw
R3-14a,hov 7,HOV 2+ only [[time range]],regulatory_bw
