mutcd_code,description,sign_text,category
R10-3a,push and wait for green,TO CROSS STREET PUSH BUTTON AND WAIT FOR GREEN LIGHT,regulatory_pedestrian
R10-3b,crossing info,[[instructions]],regulatory_pedestrian
R10-3c,crossing info text,[[instructions]],regulatory_pedestrian	
R10-4,push for walk,PUSH BUTTON WAIT FOR WALK SIGNAL,regulatory_pedestrian
R10-4a,push and wait for walk,TO CROSS STREET PUSH BUTTON WAIT FOR WALK SIGNAL,regulatory_pedestrian
R10-4b,push for,PUSH BUTTON FOR,regulatory_pedestrian
R10-5,left on green,LEFT TURN ON GREEN ARROW ONLY,regulatory_bw
R10-6,stop here on red,STOP HERE ON RED,regulatory_bw
R10-6a,stop here alt,STOP HERE ON RED,regulatory_bw
R10-7,do not block,DO NOT BLOCK INTERSECTION,regulatory_bw
R10-8,use lane with green,USE LANE WITH GREEN ARROW,regulatory_bw
R10-10L,left turn signal,LEFT TURN SIGNAL,regulatory_bw
R10-10R,right turn signal,RIGHT TURN SIGNAL,regulatory_bw
R10-11,no turn red 1,NO TURN ON RED,regulatory_bw
R10-11a,no turn red 2,NO TURN ON RED,regulatory_bw
R10-11b,no turn red 3,NO TURN ON RED,regulatory_bw
R10-12,left yield on green,LEFT TURN YIELD ON GREEN,regulatory_bw
R10-13,emergency signal,EMERGENCY SIGNAL,regulatory_bw
R10-14,energency signal stop,EMERGENCY SIGNAL STOP WHEN FLASHING RED,regulatory_bw
R10-16,uturn yield,U-TURN TO RIGHT TURN,regulatory_bw
R10-18,photo enforced,TRAFFIC LAWS PHOTO ENFORCED,regulatory_bw
R10-19,photo enforced terse,PHOTO ENFORCED,regulatory_bw
R10-21,left turn signal and yield,LEFT TURN SIGNAL YEILD ON GREEN,regulatory_bw
R10-22,wait on line,TO REQUEST GREEN WAIT ON,regulatory_bw
R11-1,keep off median,KEEP OFF MEDIAN,regulatory_bw
R11-2,road closed,ROAD CLOSED,regulatory_bw
R11-3a,road closed local only,ROAD CLOSED AHEAD LOCAL TRAFFIC ONLY,regulatory_bw
